[2021-05-09 19:15:58,375 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:15:58,377 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:15:58,377 INFO] blockchain_client->get_reply: 	 check majority for message [0, 5] passed!
[2021-05-09 19:15:58,379 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:15:58,379 INFO] blockchain_client->get_reply: 	 check majority for message [0, 5] passed!
[2021-05-09 19:15:58,380 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:15:58,380 INFO] blockchain_client->get_reply: 	 check majority for message [0, 5] passed!
[2021-05-09 19:15:58,382 INFO] blockchain_client->get_reply: 	 Get reply from 7
[2021-05-09 19:15:58,382 INFO] blockchain_client->get_reply: 	 check majority for message [0, 5] passed!
[2021-05-09 19:15:58,384 INFO] blockchain_client->get_reply: 	 Get reply from 8
[2021-05-09 19:15:58,384 INFO] blockchain_client->get_reply: 	 check majority for message [0, 5] passed!
[2021-05-09 19:15:58,386 INFO] blockchain_client->get_reply: 	 Get reply from 9
[2021-05-09 19:15:58,386 INFO] blockchain_client->get_reply: 	 check majority for message [0, 5] passed!
[2021-05-09 19:15:58,387 INFO] blockchain_client->get_reply: 	 Get reply from 10
[2021-05-09 19:15:58,387 INFO] blockchain_client->get_reply: 	 check majority for message [0, 5] passed!
[2021-05-09 19:15:58,389 INFO] blockchain_client->get_reply: 	 Get reply from 11
[2021-05-09 19:15:58,389 INFO] blockchain_client->get_reply: 	 check majority for message [0, 5] passed!
[2021-05-09 19:15:58,390 INFO] blockchain_client->get_reply: 	 Get reply from 12
[2021-05-09 19:15:58,390 INFO] blockchain_client->get_reply: 	 check majority for message [0, 5] passed!
[2021-05-09 19:15:59,010 INFO] blockchain_client->send_request: 	 client 0's  message 5 processed successfully.
[2021-05-09 19:15:59,907 INFO] blockchain_client->send_request: 	 client 0's  message 6 sent.
[2021-05-09 19:16:00,092 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:16:00,094 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:16:00,095 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:16:00,097 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:16:00,099 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:16:00,099 INFO] blockchain_client->get_reply: 	 check majority for message [0, 6] passed!
[2021-05-09 19:16:00,101 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:16:00,101 INFO] blockchain_client->get_reply: 	 check majority for message [0, 6] passed!
[2021-05-09 19:16:00,103 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:16:00,103 INFO] blockchain_client->get_reply: 	 check majority for message [0, 6] passed!
[2021-05-09 19:16:00,104 INFO] blockchain_client->get_reply: 	 Get reply from 7
[2021-05-09 19:16:00,104 INFO] blockchain_client->get_reply: 	 check majority for message [0, 6] passed!
[2021-05-09 19:16:00,106 INFO] blockchain_client->get_reply: 	 Get reply from 8
[2021-05-09 19:16:00,106 INFO] blockchain_client->get_reply: 	 check majority for message [0, 6] passed!
[2021-05-09 19:16:00,107 INFO] blockchain_client->get_reply: 	 Get reply from 9
[2021-05-09 19:16:00,107 INFO] blockchain_client->get_reply: 	 check majority for message [0, 6] passed!
[2021-05-09 19:16:00,109 INFO] blockchain_client->get_reply: 	 Get reply from 10
[2021-05-09 19:16:00,109 INFO] blockchain_client->get_reply: 	 check majority for message [0, 6] passed!
[2021-05-09 19:16:00,111 INFO] blockchain_client->get_reply: 	 Get reply from 11
[2021-05-09 19:16:00,111 INFO] blockchain_client->get_reply: 	 check majority for message [0, 6] passed!
[2021-05-09 19:16:00,112 INFO] blockchain_client->get_reply: 	 Get reply from 12
[2021-05-09 19:16:00,112 INFO] blockchain_client->get_reply: 	 check majority for message [0, 6] passed!
[2021-05-09 19:16:00,729 INFO] blockchain_client->send_request: 	 client 0's  message 6 processed successfully.
[2021-05-09 19:16:01,567 INFO] blockchain_client->send_request: 	 client 0's  message 7 sent.
[2021-05-09 19:16:01,755 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:16:01,757 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:16:01,759 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:16:01,761 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:16:01,763 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:16:01,763 INFO] blockchain_client->get_reply: 	 check majority for message [0, 7] passed!
[2021-05-09 19:16:01,764 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:16:01,764 INFO] blockchain_client->get_reply: 	 check majority for message [0, 7] passed!
[2021-05-09 19:16:01,766 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:16:01,766 INFO] blockchain_client->get_reply: 	 check majority for message [0, 7] passed!
[2021-05-09 19:16:01,767 INFO] blockchain_client->get_reply: 	 Get reply from 7
[2021-05-09 19:16:01,767 INFO] blockchain_client->get_reply: 	 check majority for message [0, 7] passed!
[2021-05-09 19:16:01,769 INFO] blockchain_client->get_reply: 	 Get reply from 8
[2021-05-09 19:16:01,769 INFO] blockchain_client->get_reply: 	 check majority for message [0, 7] passed!
[2021-05-09 19:16:01,770 INFO] blockchain_client->get_reply: 	 Get reply from 9
[2021-05-09 19:16:01,770 INFO] blockchain_client->get_reply: 	 check majority for message [0, 7] passed!
[2021-05-09 19:16:01,772 INFO] blockchain_client->get_reply: 	 Get reply from 10
[2021-05-09 19:16:01,772 INFO] blockchain_client->get_reply: 	 check majority for message [0, 7] passed!
[2021-05-09 19:16:01,773 INFO] blockchain_client->get_reply: 	 Get reply from 11
[2021-05-09 19:16:01,774 INFO] blockchain_client->get_reply: 	 check majority for message [0, 7] passed!
[2021-05-09 19:16:01,775 INFO] blockchain_client->get_reply: 	 Get reply from 12
[2021-05-09 19:16:01,775 INFO] blockchain_client->get_reply: 	 check majority for message [0, 7] passed!
[2021-05-09 19:16:02,412 INFO] blockchain_client->send_request: 	 client 0's  message 7 processed successfully.
[2021-05-09 19:16:02,723 INFO] blockchain_client->send_request: 	 client 0's  message 8 sent.
[2021-05-09 19:16:02,914 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:16:02,916 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:16:02,919 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:16:02,920 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:16:02,922 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:16:02,922 INFO] blockchain_client->get_reply: 	 check majority for message [0, 8] passed!
[2021-05-09 19:16:02,923 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:16:02,924 INFO] blockchain_client->get_reply: 	 check majority for message [0, 8] passed!
[2021-05-09 19:16:02,925 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:16:02,925 INFO] blockchain_client->get_reply: 	 check majority for message [0, 8] passed!
[2021-05-09 19:16:02,927 INFO] blockchain_client->get_reply: 	 Get reply from 7
[2021-05-09 19:16:02,927 INFO] blockchain_client->get_reply: 	 check majority for message [0, 8] passed!
[2021-05-09 19:16:02,928 INFO] blockchain_client->get_reply: 	 Get reply from 8
[2021-05-09 19:16:02,928 INFO] blockchain_client->get_reply: 	 check majority for message [0, 8] passed!
[2021-05-09 19:16:02,930 INFO] blockchain_client->get_reply: 	 Get reply from 9
[2021-05-09 19:16:02,930 INFO] blockchain_client->get_reply: 	 check majority for message [0, 8] passed!
[2021-05-09 19:16:02,932 INFO] blockchain_client->get_reply: 	 Get reply from 10
[2021-05-09 19:16:02,932 INFO] blockchain_client->get_reply: 	 check majority for message [0, 8] passed!
[2021-05-09 19:16:02,933 INFO] blockchain_client->get_reply: 	 Get reply from 11
[2021-05-09 19:16:02,933 INFO] blockchain_client->get_reply: 	 check majority for message [0, 8] passed!
[2021-05-09 19:16:02,935 INFO] blockchain_client->get_reply: 	 Get reply from 12
[2021-05-09 19:16:02,935 INFO] blockchain_client->get_reply: 	 check majority for message [0, 8] passed!
[2021-05-09 19:16:03,571 INFO] blockchain_client->send_request: 	 client 0's  message 8 processed successfully.
[2021-05-09 19:16:04,019 INFO] blockchain_client->send_request: 	 client 0's  message 9 sent.
[2021-05-09 19:16:04,222 INFO] blockchain_client->get_reply: 	 Get reply from 0
[2021-05-09 19:16:04,239 INFO] blockchain_client->get_reply: 	 Get reply from 1
[2021-05-09 19:16:04,257 INFO] blockchain_client->get_reply: 	 Get reply from 2
[2021-05-09 19:16:04,275 INFO] blockchain_client->get_reply: 	 Get reply from 3
[2021-05-09 19:16:04,294 INFO] blockchain_client->get_reply: 	 Get reply from 4
[2021-05-09 19:16:04,294 INFO] blockchain_client->get_reply: 	 check majority for message [0, 9] passed!
[2021-05-09 19:16:04,313 INFO] blockchain_client->get_reply: 	 Get reply from 5
[2021-05-09 19:16:04,313 INFO] blockchain_client->get_reply: 	 check majority for message [0, 9] passed!
[2021-05-09 19:16:04,358 INFO] blockchain_client->get_reply: 	 Get reply from 6
[2021-05-09 19:16:04,358 INFO] blockchain_client->get_reply: 	 check majority for message [0, 9] passed!
[2021-05-09 19:16:04,377 INFO] blockchain_client->get_reply: 	 Get reply from 7
[2021-05-09 19:16:04,377 INFO] blockchain_client->get_reply: 	 check majority for message [0, 9] passed!
[2021-05-09 19:16:04,401 INFO] blockchain_client->get_reply: 	 Get reply from 8
[2021-05-09 19:16:04,401 INFO] blockchain_client->get_reply: 	 check majority for message [0, 9] passed!
[2021-05-09 19:16:04,410 INFO] blockchain_client->send_request: 	 client 0's  message 9 processed successfully.
